no,fetch,update,vm_id,vm_name,cpu_usage,max_cpu,mem_usage,max_mem,cum_netin,cum_netout,rate_netin,rate_netout,bw_usage,max_bw,score,priority,unix_timestamp,timestamp
32,8,0,201,laos-1,0.0442227192548612,1,0.850830078125,1073741824,330645250,7700623912,0,0,0,12500000,0.8950527973798612,1,1750576563,2025-06-22 14:16:03
33,9,0,202,laos-2,0.0442227192548612,1,0.862579345703125,1073741824,309762011,7644284787,0,0,0,12500000,0.9068020649579862,3,1750576564,2025-06-22 14:16:04
34,9,0,203,laos-3,0.0422999923307368,1,0.86700439453125,1073741824,311185408,7619218947,0,0,0,12500000,0.9093043868619868,4,1750576564,2025-06-22 14:16:04
35,9,0,204,laos-4,0.0461454461789856,1,0.852874755859375,1073741824,310015963,7636008383,0,0,0,12500000,0.8990202020383606,2,1750576564,2025-06-22 14:16:04
36,9,0,201,laos-1,0.0442227192548612,1,0.850830078125,1073741824,330645250,7700623912,0,0,0,12500000,0.8950527973798612,1,1750576564,2025-06-22 14:16:04
37,10,1,203,laos-3,0.819107812972652,1,0.8609504699707031,1073741824,311273769,7621696815,82254.94406103404,2306638.604481913,0.19111148388343577,12500000,1.871169766826791,4,1750576565,2025-06-22 14:16:05
38,10,1,204,laos-4,0.740388360816839,1,0.8572006225585938,1073741824,310094365,7638183262,72984.14599510182,2024587.2102456703,0.16780570849926177,12500000,1.7653946918746943,2,1750576565,2025-06-22 14:16:05
39,10,1,201,laos-1,0.811661378309264,1,0.8486976623535156,1073741824,330737475,7703247553,85851.92806813939,2442338.177377298,0.20225520843563502,12500000,1.8626142490984146,3,1750576565,2025-06-22 14:16:05
40,10,1,202,laos-2,0.669115343324413,1,0.8555679321289062,1073741824,309830130,7646240469,63411.73746894646,1820537.4940434261,0.1507159385209898,12500000,1.675399213974309,1,1750576565,2025-06-22 14:16:05
41,11,1,203,laos-3,0.819107812972652,1,0.8609504699707031,1073741824,311273769,7621696815,82254.94406103404,2306638.604481913,0.19111148388343577,12500000,1.871169766826791,4,1750576566,2025-06-22 14:16:06
42,11,1,204,laos-4,0.740388360816839,1,0.8572006225585938,1073741824,310094365,7638183262,72984.14599510182,2024587.2102456703,0.16780570849926177,12500000,1.7653946918746943,2,1750576566,2025-06-22 14:16:06
43,11,1,201,laos-1,0.811661378309264,1,0.8486976623535156,1073741824,330737475,7703247553,85851.92806813939,2442338.177377298,0.20225520843563502,12500000,1.8626142490984146,3,1750576566,2025-06-22 14:16:06
