no,fetch,update,vm_id,vm_name,cpu_usage,max_cpu,mem_usage,max_mem,cum_netin,cum_netout,rate_netin,rate_netout,bw_usage,max_bw,score,priority,unix_timestamp,timestamp
31,8,1,202,laos-2,0.297764096510237,1,0.8561935424804688,1073741824,402227565,11430270531,39399.43837716568,1291193.244097993,0.1064474145980127,12500000,1.2604050535887186,4,1750687879,2025-06-23 21:11:19
32,8,1,203,laos-3,0.29457376690477,1,0.868560791015625,1073741824,404804792,11407462434,35542.189515054095,1144618.71233748,0.09441287214820271,12500000,1.2575474300685978,3,1750687879,2025-06-23 21:11:19
33,9,1,201,laos-1,0.293510323702948,1,0.8681182861328125,1073741824,421820425,11485104357,34393.339853964746,1128238.817169549,0.0930105725618811,12500000,1.2546391823976415,2,1750687880,2025-06-23 21:11:20
34,9,1,202,laos-2,0.297764096510237,1,0.8561935424804688,1073741824,402227565,11430270531,39399.43837716568,1291193.244097993,0.1064474145980127,12500000,1.2604050535887186,4,1750687880,2025-06-23 21:11:20
35,9,1,203,laos-3,0.29457376690477,1,0.868560791015625,1073741824,404804792,11407462434,35542.189515054095,1144618.71233748,0.09441287214820271,12500000,1.2575474300685978,3,1750687880,2025-06-23 21:11:20
36,9,1,204,laos-4,0.283939334886548,1,0.8565139770507812,1073741824,403896042,11436246520,35316.48958163557,1095851.8017237184,0.09049346330442831,12500000,1.2309467752417576,1,1750687880,2025-06-23 21:11:20
37,10,1,204,laos-4,0.283939334886548,1,0.8565139770507812,1073741824,403896042,11436246520,35316.48958163557,1095851.8017237184,0.09049346330442831,12500000,1.2309467752417576,1,1750687882,2025-06-23 21:11:22
38,10,1,201,laos-1,0.293510323702948,1,0.8681182861328125,1073741824,421820425,11485104357,34393.339853964746,1128238.817169549,0.0930105725618811,12500000,1.2546391823976415,2,1750687882,2025-06-23 21:11:22
39,10,1,202,laos-2,0.297764096510237,1,0.8561935424804688,1073741824,402227565,11430270531,39399.43837716568,1291193.244097993,0.1064474145980127,12500000,1.2604050535887186,4,1750687882,2025-06-23 21:11:22
40,10,1,203,laos-3,0.29457376690477,1,0.868560791015625,1073741824,404804792,11407462434,35542.189515054095,1144618.71233748,0.09441287214820271,12500000,1.2575474300685978,3,1750687882,2025-06-23 21:11:22
41,11,1,202,laos-2,0.297764096510237,1,0.8561935424804688,1073741824,402227565,11430270531,39399.43837716568,1291193.244097993,0.1064474145980127,12500000,1.2604050535887186,4,1750687883,2025-06-23 21:11:23
42,11,1,203,laos-3,0.29457376690477,1,0.868560791015625,1073741824,404804792,11407462434,35542.189515054095,1144618.71233748,0.09441287214820271,12500000,1.2575474300685978,3,1750687883,2025-06-23 21:11:23
43,11,1,204,laos-4,0.283939334886548,1,0.8565139770507812,1073741824,403896042,11436246520,35316.48958163557,1095851.8017237184,0.09049346330442831,12500000,1.2309467752417576,1,1750687883,2025-06-23 21:11:23
44,11,1,201,laos-1,0.293510323702948,1,0.8681182861328125,1073741824,421820425,11485104357,34393.339853964746,1128238.817169549,0.0930105725618811,12500000,1.2546391823976415,2,1750687883,2025-06-23 21:11:23
45,12,1,202,laos-2,0.297764096510237,1,0.8561935424804688,1073741824,402227565,11430270531,39399.43837716568,1291193.244097993,0.1064474145980127,12500000,1.2604050535887186,4,1750687884,2025-06-23 21:11:24
46,12,1,203,laos-3,0.29457376690477,1,0.868560791015625,1073741824,404804792,11407462434,35542.189515054095,1144618.71233748,0.09441287214820271,12500000,1.2575474300685978,3,1750687884,2025-06-23 21:11:24
47,12,1,204,laos-4,0.283939334886548,1,0.8565139770507812,1073741824,403896042,11436246520,35316.48958163557,1095851.8017237184,0.09049346330442831,12500000,1.2309467752417576,1,1750687884,2025-06-23 21:11:24
48,12,1,201,laos-1,0.293510323702948,1,0.8681182861328125,1073741824,421820425,11485104357,34393.339853964746,1128238.817169549,0.0930105725618811,12500000,1.2546391823976415,2,1750687884,2025-06-23 21:11:24
49,13,1,201,laos-1,0.293510323702948,1,0.8681182861328125,1073741824,421820425,11485104357,34393.339853964746,1128238.817169549,0.0930105725618811,12500000,1.2546391823976415,2,1750687885,2025-06-23 21:11:25
50,13,1,202,laos-2,0.297764096510237,1,0.8561935424804688,1073741824,402227565,11430270531,39399.43837716568,1291193.244097993,0.1064474145980127,12500000,1.2604050535887186,4,1750687885,2025-06-23 21:11:25
51,13,1,203,laos-3,0.29457376690477,1,0.868560791015625,1073741824,404804792,11407462434,35542.189515054095,1144618.71233748,0.09441287214820271,12500000,1.2575474300685978,3,1750687885,2025-06-23 21:11:25
52,13,1,204,laos-4,0.283939334886548,1,0.8565139770507812,1073741824,403896042,11436246520,35316.48958163557,1095851.8017237184,0.09049346330442831,12500000,1.2309467752417576,1,1750687885,2025-06-23 21:11:25
53,14,1,201,laos-1,0.293510323702948,1,0.8681182861328125,1073741824,421820425,11485104357,34393.339853964746,1128238.817169549,0.0930105725618811,12500000,1.2546391823976415,2,1750687886,2025-06-23 21:11:26
54,14,1,202,laos-2,0.297764096510237,1,0.8561935424804688,1073741824,402227565,11430270531,39399.43837716568,1291193.244097993,0.1064474145980127,12500000,1.2604050535887186,4,1750687886,2025-06-23 21:11:26
55,14,1,203,laos-3,0.29457376690477,1,0.868560791015625,1073741824,404804792,11407462434,35542.189515054095,1144618.71233748,0.09441287214820271,12500000,1.2575474300685978,3,1750687886,2025-06-23 21:11:26
56,14,1,204,laos-4,0.283939334886548,1,0.8565139770507812,1073741824,403896042,11436246520,35316.48958163557,1095851.8017237184,0.09049346330442831,12500000,1.2309467752417576,1,1750687886,2025-06-23 21:11:26
